istihdam_turu,gelir,fatura_odeme_skoru,kira_gecmis_ay,eticaret_aylik_ciro,kooperatif_uye_ay,sosyal_ag_skoru,geleneksel_onay,fairloan_onay
formal,25964.519118709504,92,42,3793.3779250304865,86,46,1,1
formal,28067.70678488788,73,36,150.34665185626994,97,89,1,1
serbest,6729.736475603566,61,47,5359.805535853646,74,71,0,1
formal,19456.21182880528,89,6,618.496401463765,33,94,1,1
ev_kadinı,0.0,72,58,5808.984591084676,32,82,0,1
serbest,17167.039913518194,70,4,1217.1086108660668,25,36,0,1
formal,33258.72961370264,93,10,3591.269064154005,65,34,1,1
serbest,15072.777976863928,58,14,1076.666811706541,62,53,0,1
formal,20723.986764468893,79,2,6617.859556579469,86,57,1,1
ev_kadinı,0.0,86,57,379.13160802961437,40,91,0,1
formal,23176.966015028218,94,4,550.6128067681699,85,46,1,1
kooperatif,12249.75283829637,67,22,1902.0503477233344,57,49,0,1
ev_kadinı,0.0,99,52,239.37432606852443,97,32,0,1
formal,21093.16119393959,71,36,610.7678197979254,78,66,1,1
formal,20403.635970073858,91,8,8059.073454994004,9,44,1,1
ev_kadinı,0.0,60,14,10500.882009599572,14,80,0,1
ev_kadinı,0.0,73,2,1321.6576488377448,41,77,0,1
ev_kadinı,0.0,67,28,7189.479729196906,92,37,0,1
ev_kadinı,0.0,80,5,2203.8032969701517,56,42,0,1
formal,21827.654150180853,68,16,880.2024576237898,86,77,1,1
serbest,11663.349871094506,85,25,3393.6019000469855,16,32,0,1
formal,24552.01642197658,58,20,3011.6376804972388,59,94,1,1
ev_kadinı,0.0,93,7,12659.690528155204,8,60,0,1
ev_kadinı,0.0,62,20,862.2575316607243,113,55,0,1
formal,31311.053063113024,79,56,3121.784673305059,35,85,1,1
formal,25453.856729022133,67,10,149.59233824923678,72,63,1,1
formal,22864.409240431705,86,37,337.78892924251386,79,38,1,1
formal,22686.84928988005,92,7,10.99300130640008,35,91,1,1
ev_kadinı,0.0,92,41,21070.569620890124,47,42,0,1
ev_kadinı,0.0,82,23,4538.440237473615,50,98,0,1
ev_kadinı,0.0,84,34,4326.457961696883,96,70,0,1
serbest,9528.832169561701,57,54,1995.8148393467623,118,30,0,1
formal,27973.993997162215,82,13,998.9581875085067,94,76,1,1
ev_kadinı,0.0,57,54,459.22080470298056,69,33,0,1
ev_kadinı,0.0,99,13,938.0502012682853,73,92,0,1
ev_kadinı,0.0,88,9,1320.364620323956,79,81,0,1
ev_kadinı,0.0,70,11,3953.2045034078183,67,39,0,1
serbest,14727.569810455192,76,37,2172.222690796873,117,57,0,1
serbest,14368.32030243281,86,43,225.82043185413488,21,35,0,1
serbest,26175.87648745701,92,54,50.94183291501539,76,56,0,1
formal,25344.388087645588,62,45,302.2745306222426,79,41,1,1
formal,20616.940274571672,62,33,1479.7394555551625,115,91,1,1
formal,22081.390817075055,60,40,7576.64928120864,92,81,1,1
ev_kadinı,0.0,68,9,2840.4931058342054,5,77,0,1
formal,29168.0056913854,86,57,4532.106155028807,25,96,1,1
serbest,15396.446436882175,89,16,1758.5712872444979,74,75,0,1
ev_kadinı,0.0,64,16,1256.9025055472337,87,44,0,1
formal,17527.74909757185,57,2,321.2666674048049,92,65,0,1
serbest,18217.301271013213,66,30,5843.414403519113,2,43,0,1
ev_kadinı,0.0,85,50,4280.067843681981,51,32,0,1
formal,20993.351615074527,83,0,515.3814188991967,73,96,1,1
formal,32429.839992978956,59,11,2010.3270826698213,59,48,1,1
formal,28860.216295715916,79,38,1870.9888976059638,62,83,1,1
formal,21987.051469535618,95,3,2747.00558528558,64,98,1,1
ev_kadinı,0.0,85,41,8182.267059039255,51,39,0,1
ev_kadinı,0.0,75,12,2427.4782824335957,106,62,0,1
ev_kadinı,0.0,74,33,2175.603416450081,89,42,0,1
ev_kadinı,0.0,93,41,144.57318842835855,75,80,0,1
ev_kadinı,0.0,76,20,181.9251187803807,13,61,0,1
formal,29764.573627808008,58,21,580.8622904935871,88,53,1,1
ev_kadinı,0.0,67,56,92.4270043110101,71,64,0,1
serbest,15237.494286845911,99,3,3808.1491621983164,106,99,0,1
ev_kadinı,0.0,96,17,3597.8065690003846,67,69,0,1
ev_kadinı,0.0,74,4,409.49327564323227,27,83,0,1
formal,27837.481538049986,67,18,5063.436194138237,70,73,1,1
formal,26181.297677825136,71,1,470.8633173388124,9,91,1,1
formal,20191.39505254107,90,11,1003.3961440294335,114,97,1,1
serbest,12747.575586888883,87,16,801.6928292418572,56,62,0,1
ev_kadinı,0.0,55,9,1303.971879238523,99,85,0,1
ev_kadinı,0.0,69,33,822.975556099689,65,65,0,1
formal,28634.823679115227,67,5,1879.6110452627643,89,83,1,1
serbest,13828.286337627107,71,7,1465.0970419425182,116,48,0,1
serbest,13587.230378653012,78,50,12068.633787030929,49,72,0,1
formal,19701.948392927912,62,10,161.1430714543737,13,41,1,1
formal,25906.195795170574,81,56,429.41526944951914,15,40,1,1
formal,33281.36213659415,99,11,151.96258712632303,53,99,1,1
kooperatif,7364.934171491454,77,8,2752.609886161319,42,41,0,1
formal,24108.987555027412,62,1,156.94336870562498,41,70,1,1
serbest,19942.771943954,62,7,5069.606577879143,80,54,0,1
ev_kadinı,0.0,80,57,2008.4795478618778,109,32,0,1
serbest,14721.255130639996,67,10,2096.2928286798947,21,32,0,1
kooperatif,10404.743592499468,93,59,2308.9108431145464,67,57,0,1
kooperatif,7375.21294370624,91,52,524.4691987112706,18,52,0,1
formal,25927.38193743442,82,35,616.7296518234785,65,77,1,1
serbest,14344.99507248408,79,9,1074.9893292707327,38,96,0,1
formal,28435.784980559383,70,20,2520.4550920268316,72,71,1,1
formal,29343.23723204138,56,19,660.4399986904742,18,69,1,1
formal,35653.03638908376,72,47,346.2859223854127,15,35,1,1
ev_kadinı,0.0,71,7,9829.29281959113,53,49,0,1
serbest,17028.716106247513,84,35,62.23564159680463,24,40,0,1
formal,25466.08342461975,93,28,4544.446802514039,111,56,1,1
formal,24874.72935709801,67,41,4343.737490228148,17,50,1,1
ev_kadinı,0.0,86,11,987.5684144969217,22,42,0,1
formal,22410.751682351904,83,13,408.10124917030794,116,64,1,1
formal,25523.17729557761,84,47,440.6901513998381,84,76,1,1
serbest,13966.095064513396,72,53,3347.254311348188,10,57,0,1
kooperatif,9836.92195253923,67,49,2882.5380702691637,38,50,0,1
formal,29929.18891023582,97,20,4274.722490216759,104,47,1,1
ev_kadinı,0.0,75,21,7762.405072770882,67,60,0,1
ev_kadinı,0.0,84,20,3296.775132736111,24,89,0,1
formal,19470.558456241615,75,43,474.39530682788114,62,66,1,1
ev_kadinı,0.0,71,49,781.1353061364158,95,50,0,1
serbest,18989.574963951658,94,29,5169.884000546308,29,43,0,1
ev_kadinı,0.0,73,38,657.564135355238,44,89,0,1
ev_kadinı,0.0,69,19,210.80232935013308,89,52,0,1
serbest,19609.902735689528,63,23,3401.906278212301,60,58,0,1
formal,23468.691628540146,64,22,1442.1262961175307,99,76,1,1
ev_kadinı,0.0,98,6,7073.442394207069,50,59,0,1
formal,14451.652954461324,85,8,2941.543261264334,97,67,0,1
formal,21264.801058075052,77,0,265.3593618214413,8,56,1,1
formal,29836.47545952499,84,25,8270.519699525994,75,44,1,1
ev_kadinı,0.0,87,37,837.6405720009486,1,88,0,1
ev_kadinı,0.0,63,37,1151.642347848168,101,32,0,1
formal,23897.09371965503,55,53,1440.8802639425792,4,39,1,0
serbest,11502.442186967812,98,43,147.2320040108841,61,46,0,1
formal,21728.51285447302,89,21,1921.3661525617536,68,40,1,1
ev_kadinı,0.0,65,43,368.5122344102828,51,77,0,1
formal,27782.79011927049,88,9,1434.8436032301638,85,34,1,1
ev_kadinı,0.0,70,54,1209.2513839418748,4,98,0,0
serbest,16913.567488704826,63,57,4149.882887448894,58,93,0,1
kooperatif,9022.135801660612,86,5,4551.168905707726,67,43,0,1
formal,22349.290146833904,69,16,466.3180693624019,8,79,1,1
formal,22237.088329302802,66,50,1278.4130335195523,92,55,1,1
formal,19849.154169756737,87,49,1308.6420263594098,21,98,1,1
ev_kadinı,0.0,99,37,459.7030299233368,26,36,0,1
ev_kadinı,0.0,68,23,4484.858504139756,9,45,0,1
formal,31269.19060261249,62,50,3439.4143037939816,79,84,1,1
ev_kadinı,0.0,62,9,591.3389539098714,105,85,0,1
ev_kadinı,0.0,81,55,1279.1677651072032,105,33,0,1
ev_kadinı,0.0,66,7,313.1280168401907,60,77,0,1
serbest,13871.87835776031,55,20,2770.367453036127,50,46,0,1
formal,29477.213343714735,97,55,362.3020609372091,9,65,1,1
formal,30845.922233651032,94,5,11939.218842011225,5,99,1,1
ev_kadinı,0.0,96,20,4248.252086762007,61,67,0,1
ev_kadinı,0.0,65,56,1385.1248969386959,112,91,0,1
ev_kadinı,0.0,93,38,2419.4441349402373,4,77,0,1
formal,28492.39904166582,97,23,6784.307418165203,69,39,1,1
formal,22057.70859276878,85,32,2261.445069872495,62,65,1,1
ev_kadinı,0.0,71,58,536.9397097840643,55,58,0,1
ev_kadinı,0.0,87,17,1332.650543924772,58,33,0,1
ev_kadinı,0.0,86,55,5186.811299000761,62,73,0,1
ev_kadinı,0.0,83,27,2893.584642872019,110,85,0,1
ev_kadinı,0.0,75,56,2945.303028498748,88,71,0,1
formal,25816.785406514744,75,51,5644.981545992232,58,42,1,1
formal,23891.119771240876,94,31,6283.373718398004,50,75,1,1
ev_kadinı,0.0,77,11,7064.789612145191,49,62,0,1
ev_kadinı,0.0,60,47,279.0303932509284,3,50,0,0
formal,19933.341626714424,76,41,2199.508717687965,103,86,1,1
formal,25459.616767747215,92,26,3777.2987495002762,47,98,1,1
ev_kadinı,0.0,91,9,3960.2999298454997,31,99,0,1
formal,18694.32093978089,99,45,2613.0266269328677,119,96,1,1
formal,29344.557248077035,62,56,510.9058345978085,50,77,1,1
serbest,13373.839459455625,95,51,4470.544800851769,51,62,0,1
ev_kadinı,0.0,89,41,3565.417448826225,98,65,0,1
ev_kadinı,0.0,65,31,252.20514232109008,73,62,0,1
formal,24905.218451427776,78,41,1745.1458531574422,33,60,1,1
ev_kadinı,0.0,75,25,535.1728045488309,35,50,0,1
formal,25274.79542195764,56,24,1152.7602064763887,69,56,1,1
formal,22834.92761833165,94,10,51.09034744333555,42,91,1,1
ev_kadinı,0.0,73,22,1431.8515557791288,109,55,0,1
ev_kadinı,0.0,93,33,2235.0558302034465,15,95,0,1
ev_kadinı,0.0,82,56,2706.1613296947803,58,41,0,1
ev_kadinı,0.0,71,51,3049.559627154512,52,51,0,1
ev_kadinı,0.0,60,39,5067.066844150304,18,46,0,1
formal,26640.122106638737,73,22,679.4519926119447,97,36,1,1
serbest,13337.837201821165,92,28,359.46693147390255,88,97,0,1
formal,27920.8378385576,82,30,5340.777870076772,94,66,1,1
formal,17943.09143888963,56,6,476.92156990481203,112,67,0,1
kooperatif,9752.759159092824,92,39,10302.119698712846,40,40,0,1
serbest,21786.251496703997,91,32,5176.003214255461,80,30,0,1
ev_kadinı,0.0,58,20,1945.7254068380598,46,54,0,1
ev_kadinı,0.0,76,1,11160.08947119367,93,71,0,1
ev_kadinı,0.0,80,17,286.860027598053,102,81,0,1
serbest,11498.840363880488,97,46,1010.9798203707641,53,53,0,1
ev_kadinı,0.0,90,32,2846.8473332445615,54,82,0,1
serbest,12627.89260316302,67,36,1206.2217524842733,94,85,0,1
formal,26312.58532346512,86,33,7381.575393507418,18,92,1,1
ev_kadinı,0.0,71,19,190.0600436246011,61,37,0,1
formal,24808.11801872819,95,34,2232.1642274016003,98,88,1,1
formal,25577.835446731016,90,50,2502.396965039448,92,74,1,1
ev_kadinı,0.0,73,49,2961.412442380809,58,56,0,1
formal,26201.342085664484,89,53,826.744016551433,64,81,1,1
kooperatif,10769.44293712354,94,17,1269.6536209786173,67,47,0,1
kooperatif,11719.399683912447,82,45,5196.389741287602,27,45,0,1
ev_kadinı,0.0,55,23,607.1573470022415,17,95,0,1
serbest,16434.365299249795,96,7,4910.36024339805,25,34,0,1
formal,22914.34055421656,72,29,2315.694888221842,103,32,1,1
ev_kadinı,0.0,94,43,4021.5637783920897,18,99,0,1
serbest,17354.00795420956,87,52,3501.0963803762857,54,36,0,1
kooperatif,13299.763869790431,66,9,651.2163799495648,118,79,0,1
kooperatif,9234.732507234852,62,22,2355.395831622084,56,43,0,1
ev_kadinı,0.0,78,51,5664.00303134955,5,67,0,1
formal,19614.618128982114,70,48,1584.3478656879645,0,76,1,0
serbest,18874.782342504404,58,10,9516.984614354726,7,62,0,1
ev_kadinı,0.0,92,1,1685.243245065628,96,72,0,1
formal,23458.28476220881,98,57,431.38832637423434,50,58,1,1
formal,14222.987042936837,81,25,1381.4359916422156,106,86,0,1
ev_kadinı,0.0,63,35,8485.045915682018,84,34,0,1
kooperatif,11194.843354300843,70,32,1078.705738246659,87,89,0,1
ev_kadinı,0.0,66,46,5671.952351481434,24,99,0,1
ev_kadinı,0.0,85,12,5966.073614376218,46,31,0,1
formal,21591.02316320735,78,39,1206.9957697957861,54,99,1,1
ev_kadinı,0.0,68,24,243.40071152106728,63,72,0,1
kooperatif,9318.933435391678,99,3,3610.258033388435,106,33,0,1
formal,25493.911487560566,79,41,1045.1219085009075,82,85,1,1
serbest,15666.748879226732,88,18,4277.016742186575,92,88,0,1
ev_kadinı,0.0,57,17,1636.7975930770406,116,38,0,1
ev_kadinı,0.0,78,36,1859.4980846267579,9,32,0,1
ev_kadinı,0.0,96,29,4213.075727396556,55,77,0,1
ev_kadinı,0.0,63,18,1349.1937445085434,11,72,0,1
serbest,17483.081359986638,80,57,1639.1723385651003,32,30,0,1
formal,22040.311332435704,74,22,1321.3485477368165,119,86,1,1
ev_kadinı,0.0,94,58,1281.9042331357591,70,82,0,1
ev_kadinı,0.0,64,53,2090.0187187013858,16,45,0,1
ev_kadinı,0.0,73,15,4632.410644512972,60,80,0,1
ev_kadinı,0.0,57,0,1257.3509594873708,9,84,0,1
serbest,16795.870293616288,78,11,2080.043546454961,30,30,0,1
serbest,14091.586628456289,59,23,3110.4334056135467,59,57,0,1
ev_kadinı,0.0,57,33,879.0408416559213,69,82,0,1
ev_kadinı,0.0,81,52,910.194385442842,16,87,0,1
ev_kadinı,0.0,70,56,7585.8939052884725,49,89,0,1
ev_kadinı,0.0,69,7,3599.87461402774,36,88,0,1
ev_kadinı,0.0,89,17,2410.3086344195076,81,51,0,1
formal,27324.647163993763,66,56,2921.3215346728525,61,37,1,1
serbest,17153.786194045686,95,47,83.26428476225585,89,78,0,1
formal,19790.52584079932,98,4,2695.29190017956,112,71,1,1
ev_kadinı,0.0,80,25,1994.574652845096,117,56,0,1
formal,28886.919522787644,88,29,2209.4992269354207,79,68,1,1
serbest,13124.127942100831,77,53,1247.084263745801,71,54,0,1
serbest,17828.20229398401,85,12,237.9578777667759,87,67,0,1
formal,25652.792910306034,74,18,601.5857761798387,76,53,1,1
ev_kadinı,0.0,66,28,8430.067999330888,28,53,0,1
formal,32271.82654557805,77,2,1471.2069004446425,31,89,1,1
formal,22994.403079326665,58,25,1760.1908158329331,87,79,1,1
ev_kadinı,0.0,77,39,151.61938577691956,79,95,0,1
serbest,13777.391213586308,55,58,107.21207028989133,10,43,0,1
formal,23912.611773505203,79,57,3536.2592793061217,95,82,1,1
serbest,13938.870760080035,56,57,2162.706866853287,5,61,0,0
ev_kadinı,0.0,84,11,1989.9950567075723,34,77,0,1
formal,27599.738558739227,57,1,779.95832392523,32,68,1,1
ev_kadinı,0.0,75,10,3823.4411271512276,17,69,0,1
formal,16726.602262035354,79,43,515.7802397609065,36,71,0,1
formal,19258.429113841405,74,27,589.7933193019022,12,37,1,1
serbest,11262.689774472823,76,17,1729.0163679132863,73,55,0,1
serbest,18326.076571907513,75,12,944.3402002233737,100,41,0,1
ev_kadinı,0.0,87,36,796.0542497447498,89,72,0,1
ev_kadinı,0.0,92,21,2901.6599778493037,109,80,0,1
kooperatif,12921.22674516385,69,11,2947.286722233137,80,92,0,1
serbest,14634.42773511885,69,1,4872.597812946945,63,78,0,1
formal,23240.30224564495,79,36,1514.1957951357094,0,56,1,1
ev_kadinı,0.0,75,6,212.50182648556262,62,38,0,1
formal,24315.234734009315,78,25,895.2883654540037,88,68,1,1
serbest,19066.574059128667,59,25,10954.429367235023,33,94,0,1
formal,19826.910896142417,60,23,2539.5458021843438,102,36,1,1
formal,25072.660422306533,97,11,3463.510855236636,9,96,1,1
kooperatif,11450.395259564859,98,15,20.678089514391683,83,39,0,1
ev_kadinı,0.0,77,22,2044.6666416503356,6,82,0,1
ev_kadinı,0.0,58,39,107.10276450291624,55,86,0,1
serbest,16753.82959478946,81,59,2358.1081058139666,79,56,0,1
formal,24853.117274694345,72,8,7099.150765640402,36,83,1,1
formal,28504.707416552134,75,31,9674.570464433551,28,33,1,1
formal,11835.454681503432,82,14,2177.6467442166872,11,52,0,1
serbest,17372.563618358177,89,36,1716.0282115821085,16,77,0,1
ev_kadinı,0.0,76,12,8122.052250416926,47,71,0,1
ev_kadinı,0.0,94,4,3135.052980877362,83,32,0,1
formal,21056.65942592659,77,10,187.88289261358335,25,32,1,1
kooperatif,5838.734206287087,57,9,1755.1678830671997,111,57,0,1
ev_kadinı,0.0,94,51,769.32601311343,82,92,0,1
ev_kadinı,0.0,64,12,1776.6255801321647,110,60,0,1
ev_kadinı,0.0,79,40,1701.9075079146387,11,39,0,1
serbest,16789.209098337433,62,52,2443.3369091351315,20,78,0,1
formal,30181.463453233308,65,45,1235.5103116654902,41,50,1,1
serbest,14518.930198803078,59,49,502.4606226361993,60,82,0,1
ev_kadinı,0.0,99,14,1961.718797112654,57,83,0,1
formal,28287.935462413225,91,41,4964.822777525308,53,86,1,1
formal,31255.252160948905,99,55,3053.905435670646,33,49,1,1
formal,29917.115041128214,92,6,1156.5275853770954,6,78,1,0
formal,31379.840382171267,83,39,7676.051770512034,108,36,1,1
ev_kadinı,0.0,59,27,6811.784041904072,34,58,0,1
ev_kadinı,0.0,63,31,657.7140152364705,14,77,0,1
serbest,17597.446218751622,56,34,112.60338967134149,64,42,0,1
formal,24339.451375057168,55,14,3785.935586505356,89,32,1,1
serbest,9393.11965835991,94,47,4922.392840709962,98,31,0,1
serbest,14138.78129154518,84,35,9625.828780995766,24,45,0,1
formal,20205.39032107714,65,20,6176.208336744123,105,35,1,1
serbest,22598.29951124235,82,5,2569.3599312240794,58,74,0,1
serbest,14384.399656486821,98,0,2114.3750614150163,78,34,0,1
ev_kadinı,0.0,66,3,79.06068907306111,85,85,0,1
ev_kadinı,0.0,93,10,793.0549461539144,5,61,0,0
formal,24554.421630530185,80,43,1723.3243190016778,51,78,1,1
serbest,16930.198816141638,67,25,2772.607356639496,78,42,0,1
ev_kadinı,0.0,62,36,2281.311600626274,87,59,0,1
serbest,15152.608562303589,82,22,3800.3386782172934,20,54,0,1
ev_kadinı,0.0,84,28,918.9051543071223,70,89,0,1
ev_kadinı,0.0,63,20,2330.440856526995,92,88,0,1
formal,31627.72968193839,93,47,258.35955516680923,95,57,1,1
formal,21198.07787219497,85,44,1494.8216454336964,31,87,1,1
ev_kadinı,0.0,75,44,3883.4261199020143,52,49,0,1
formal,24875.733548567594,88,48,3310.1994690077804,58,63,1,1
ev_kadinı,0.0,85,26,13080.486899716845,68,34,0,1
kooperatif,8015.058828603904,79,38,911.6221979954033,61,89,0,1
ev_kadinı,0.0,66,39,1930.6904971052224,3,72,0,0
serbest,10379.92121072753,55,12,1119.3754239670707,85,86,0,1
ev_kadinı,0.0,76,22,1626.5089820395892,17,86,0,1
serbest,12858.8081818315,94,58,5444.7735085703,98,83,0,1
serbest,14870.371210330559,91,15,3227.4897611949564,80,74,0,1
kooperatif,8641.39555096548,55,29,5994.28640002175,113,66,0,1
serbest,12576.526570441503,55,3,637.1178692473775,113,77,0,1
kooperatif,6687.365072656332,96,39,5785.96393303774,55,83,0,1
ev_kadinı,0.0,96,15,172.54310046854854,23,77,0,1
formal,23626.024923170873,75,30,6144.940178267218,65,35,1,1
formal,17228.75831686049,69,52,1117.4690871198957,12,63,0,1
formal,27420.251836603213,71,41,1057.6569551247344,61,92,1,1
formal,24370.978888205264,76,24,2009.3399178503441,53,77,1,1
formal,17441.01825240781,92,43,7909.945451116558,14,52,0,1
ev_kadinı,0.0,89,11,137.0897125086927,68,42,0,1
formal,22608.559153275615,99,25,1215.8190497073074,2,76,1,1
formal,20615.296174842377,70,36,5437.38169227708,36,73,1,1
ev_kadinı,0.0,62,47,1411.959582725062,36,61,0,1
formal,25436.28529688631,71,32,621.8526391003041,100,55,1,1
ev_kadinı,0.0,71,27,1548.4765988199467,2,82,0,0
formal,30032.027007104152,80,8,1363.6890158269675,62,43,1,1
formal,15561.723886594149,67,11,6916.035104743326,34,81,0,1
ev_kadinı,0.0,71,4,4018.5849512086047,51,65,0,1
ev_kadinı,0.0,92,53,1969.606770918307,86,37,0,1
ev_kadinı,0.0,71,51,12471.804920183607,27,69,0,1
ev_kadinı,0.0,68,53,1752.8207668494374,93,51,0,1
ev_kadinı,0.0,99,27,168.0070297200006,17,45,0,1
formal,24517.617356163377,60,55,851.7130531259561,115,89,1,1
formal,23279.40241995012,89,34,1603.9128006179726,35,89,1,1
ev_kadinı,0.0,68,4,477.88388635464844,32,39,0,1
ev_kadinı,0.0,62,33,8254.91346639031,63,54,0,1
kooperatif,10842.680152900932,69,45,4076.9918794822484,25,60,0,1
serbest,15746.188198831913,81,33,874.6281385002342,47,50,0,1
serbest,12368.107338914133,67,12,2501.9745070441154,39,62,0,1
ev_kadinı,0.0,85,38,3578.833094274512,16,60,0,1
formal,22564.25728950022,89,41,7937.878631631735,39,50,1,1
kooperatif,7907.9482863930225,60,44,5975.158443335382,6,65,0,1
ev_kadinı,0.0,59,47,2027.207865653995,56,94,0,1
serbest,18766.024985095093,76,57,4172.314034989967,7,33,0,1
ev_kadinı,0.0,77,13,2312.427351975389,116,97,0,1
ev_kadinı,0.0,79,10,2252.6965028600257,55,33,0,1
formal,24095.90241902374,88,41,341.25309112717105,30,38,1,1
ev_kadinı,0.0,80,37,377.5307737111333,58,59,0,1
serbest,21654.167400135528,59,3,2111.286149917729,57,74,0,1
ev_kadinı,0.0,80,52,876.8268101984518,11,33,0,1
formal,23727.026337834206,74,32,59.53172735236347,47,98,1,1
ev_kadinı,0.0,60,6,3592.840859663287,30,52,0,1
serbest,12520.576315813381,60,55,92.47280174703936,107,45,0,1
formal,17188.285233242277,72,40,2532.7456108911474,82,51,0,1
ev_kadinı,0.0,58,7,2169.377565839368,62,77,0,1
formal,15885.871456848246,71,36,9709.862811333858,73,91,0,1
formal,16871.388256475297,68,50,1853.772646837746,38,89,0,1
kooperatif,10034.253302022968,68,9,183.9994164475416,75,34,0,1
kooperatif,10517.450046459868,67,42,2246.344208021212,19,36,0,1
ev_kadinı,0.0,61,56,5150.477097913211,100,80,0,1
ev_kadinı,0.0,98,14,16128.351791193867,47,94,0,1
serbest,9465.832542887532,69,37,1575.6192439891008,104,38,0,1
formal,28027.67241334252,73,14,1081.085332727527,70,74,1,1
formal,21826.22526742452,97,4,6640.017237831578,115,76,1,1
ev_kadinı,0.0,98,28,594.315962815596,53,96,0,1
ev_kadinı,0.0,89,18,2675.7545660906644,77,53,0,1
ev_kadinı,0.0,71,53,1457.1068617810756,74,39,0,1
ev_kadinı,0.0,89,50,117.46026342604489,70,77,0,1
formal,24660.568553934972,73,9,1194.5360420283464,28,64,1,1
serbest,20642.772198893985,74,11,862.9480806324159,73,83,0,1
formal,28035.776921394892,90,53,3244.227376325396,92,45,1,1
serbest,14060.142732329587,89,3,8321.124482165622,72,82,0,1
serbest,11880.827211046493,86,30,873.7098460459978,99,69,0,1
ev_kadinı,0.0,98,17,4671.734463932927,47,49,0,1
serbest,7468.6460953474325,94,15,159.46331144901947,73,98,0,1
formal,20763.81006340911,78,39,2162.8665763662584,82,74,1,1
formal,23049.913925275374,71,35,204.85453568940406,55,35,1,1
